โรงเรียน,จังหวัด,ทีม
โรงเรียนผดุงราษฎร์,พิษณุโลก,"Active Esport ( ATP)"
โรงเรียนผดุงราษฎร์,พิษณุโลก,"เเมงดู๋(Mud)"
โรงเรียนพรานกระต่ายพิทยาคม,กำแพงเพชร,"อยู่ในใจเสมอ"
โรงเรียนวังไทรวิทยาคม,กำแพงเพชร,"กล้วยไข่หวาน"
โรงเรียนวิทยานุกูลนารี,เพชรบูรณ์,"T-SIX E-Sport"
โรงเรียนวิทยานุกูลนารี,เพชรบูรณ์,"T-SIX Academy"
โรงเรียนพระหฤทัยสวรรคโลก,สุโขทัย,"โรงเรียนพระหฤทัยสวรรคโลก"
โรงเรียนบ้านโคกวิทยาคม,อุตรดิตถ์,"BKW"
โรงเรียนเทศบาลบ้านปากทาง,พิจิตร,"โรงเรียนเทศบาลบ้านปากทาง"
โรงเรียนศรีเทพประชาสรรค์,เพชรบูรณ์,"SP-01"
โรงเรียนเฉลิมขวัญสตรี,พิษณุโลก,"Next Go!!!"
โรงเรียนบ้านโนนจั่น,กำแพงเพชร,"NONJUN E-SPORTS"
โรเรียนกีฬาเทศบาลนครนครสวรรค์,นครสวรรค์,"T9_Badboys"
โรงเรียนเมืองเชลียง,สุโขทัย,"AtomicX"
โรงเรียนผดุงปัญญา,ตาก,"สนั่น01"
โรงเรียนมัธยมสาธิตมหาวิทยาลัยนเรศวร,พิษณุโลก,"Caelus"
โรงเรียนมัธยมสาธิตมหาวิทยาลัยนเรศวร,พิษณุโลก,"Actin"
โรงเรียนกำแพงเพชรพิทยาคม,กำแพงเพชร,"RUBZ"
โรงเรียนขาณุวิทยา,กำแพงเพชร,"KW E-sports"
โรงเรียนศรีเทพประชาสรรค์,เพชรบูรณ์,"SP-02"
โรงเรียนพิจิตรพิทยาคม,พิจิตร,"Upgrade Asto Toilet Titan Cameraman"
โรงเรียนพิจิตรพิทยาคม,พิจิตร,"TeeNoi"
โรงเรียนเมืองเชลียง,สุโขทัย,"YOLO"
โรงเรียนโพฒิสารศึกษา,นครสวรรค์,"Luky PS"
โรงเรียนสหคริสเตียน,อุตรดิตถ์,"Demon Maisie"
โรงเรียนผดุงปัญญา,ตาก,"ดังสนั่น02"
โรงเรียนโพฒิสารศึกษา,นครสวรรค์,"PS-Esport"
โรงเรียนเขาทรายทับคล้อพิทยา,พิจิตร,"KHTP Esports1"
โรงเรียนเขาทรายทับคล้อพิทยา,พิจิตร,"KHTP Esports2"
โรงเรียนสตรีนครสวรรค์,นครสวรรค์,"SNS-Family"
โรงเรียนสตรีนครสวรรค์,นครสวรรค์,"SNS-Devilish"
โรงเรียนเฉลิมขวัญสตรี,พิษณุโลก,"The GenX"
โรงเรียนวังไทรวิทยาคม,กำแพงเพชร,"ไข่เค็ม"
โรงเรียนบ้านเข็กน้อย,เพชรบูรณ์,"บ้านเข็กน้อย"
โรงเรียนวังแขมวิทยาคม,กำแพงเพชร,"ENAZUMA ELEVEN GO"
โรงเรียนเทศบาลวัดไทยชุมพล,สุโขทัย,"Trash_Seven"
โรงเรียนลาดยาววิทยาคม,นครสวรรค์,"รวงข้าวสตูดิโอ1"
โรงเรียนลาดยาววิทยาคม,นครสวรรค์,"รวงข้าว Studio2"
โรงเรียนเทศบาลวัดไทยชุมพล,สุโขทัย,"Call me baby"
โรงเรียนชุมแสงสงคราม"อุดรคณารักษ์อุปถัมภ์",พิษณุโลก,"CHSK"
